topic_no,title_x,title_y,articleType_x,articleType_y,score
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"We really need to figure out how to stop a killer asteroid, scientists say",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,ExoMars arrives at the Red Planet to study the weather and sniff for life,Speaking of Science,Speaking of Science,2
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"We really need to figure out how to stop a killer asteroid, scientists say",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"After meteor blast in Russia, Laurel lab plans to smack an asteroid",Speaking of Science,Business,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"We really need to figure out how to stop a killer asteroid, scientists say",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"We really need to figure out how to stop a killer asteroid, scientists say",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"We really need to figure out how to stop a killer asteroid, scientists say",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,Mission probably over for Europe’s Mars lander,Speaking of Science,KidsPost,2
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"We really need to figure out how to stop a killer asteroid, scientists say",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"With still no signal from the ExoMars lander, scientists fear it may have crashed on Mars",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"We really need to figure out how to stop a killer asteroid, scientists say",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,Why NASA still believes we might find life on Mars,Speaking of Science,Speaking of Science,2
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"We really need to figure out how to stop a killer asteroid, scientists say",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"As asteroid whizzes by, surprise meteor makes an impact over Russia",Speaking of Science,Health & Science,2
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"With still no signal from the ExoMars lander, scientists fear it may have crashed on Mars",Speaking of Science,Speaking of Science,4
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"ESA confirms the ExoMars lander crashed, possibly exploded on impact",Speaking of Science,Speaking of Science,16
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"ESA confirms the ExoMars lander crashed, possibly exploded on impact",Speaking of Science,Speaking of Science,16
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,ExoMars arrives at the Red Planet to study the weather and sniff for life,Speaking of Science,Speaking of Science,2
809,Europe will send a rover to Mars but won’t protect Earth from an asteroid,"We really need to figure out how to stop a killer asteroid, scientists say",Speaking of Science,Speaking of Science,4
375,Meet the Mirai: Why Toyota wants to make your next car run on hydrogen,Are hydrogen cars the wave of the future? Toyota thinks so.,Business,Wonkblog,16
375,Meet the Mirai: Why Toyota wants to make your next car run on hydrogen,Bill Gates: ‘We need an energy miracle’ to prevent catastrophic climate change,Business,Energy and Environment,4
375,Meet the Mirai: Why Toyota wants to make your next car run on hydrogen,"Hybrid, electric or gas: What’s a car buyer interested in the environment to do?",Business,Health & Science,8
375,Meet the Mirai: Why Toyota wants to make your next car run on hydrogen,The states where it pays to buy a new electric car,Business,The Switch,2
375,Meet the Mirai: Why Toyota wants to make your next car run on hydrogen,Electric-car rivals like the ‘Tesla killer’ are exactly what Elon Musk wants,Business,Business,4
375,Meet the Mirai: Why Toyota wants to make your next car run on hydrogen,"Fuel economy, alternative fuel cars dominate auto show talks",Business,Capital Business,4
375,Meet the Mirai: Why Toyota wants to make your next car run on hydrogen,Washington Auto Show welcomes the latest earth-friendly car technology,Business,On Small Business,8
375,Meet the Mirai: Why Toyota wants to make your next car run on hydrogen,Nuclear fusion energy in a decade? Lockheed Martin is betting on it.,Business,Capital Business,4
375,Meet the Mirai: Why Toyota wants to make your next car run on hydrogen,An eco-friendly SUV? A sustainable sports car? From oxymorons to reality.,Business,On Small Business,8
